Date,Open,High,Low,Close,Volume
40262,32.988571,32.995716,32.32143,32.378571,135571100
40263,32.707142,33.135715,32.650002,32.985714,160218800
40266,33.285713,33.41,33.08857,33.19857,135186100
40267,33.799999,33.925713,33.464287,33.692856,131827500
40268,33.64143,33.80143,33.494286,33.57143,107664900
40269,33.915714,34.104286,33.25,33.709999,150786300
40273,33.568573,34.072857,33.53857,34.07,171126900
40274,34.028572,34.32,33.857143,34.220001,111754300
40275,34.221428,34.560001,34.094284,34.371429,157125500
40276,34.348572,34.505714,34.005714,34.278572,143247300
40277,34.490002,34.555714,34.351429,34.541428,83545700
40280,34.599998,34.724285,34.544285,34.612858,83256600
40281,34.55143,34.685715,34.444286,34.632858,76552700
40282,35.040001,35.115715,34.867142,35.098572,101019100
40283,35.111427,35.575714,35.072857,35.560001,94196200
40284,35.509998,35.877144,34.935715,35.342857,187636400
40287,35.290001,35.412857,34.53857,35.295715,141731100
40288,35.505714,35.607143,34.708572,34.941429,184581600
40289,36.971428,37.17857,36.532856,37.031429,245597800
40290,36.89143,38.107143,36.599998,38.067142,198356200
40291,38.284286,38.882858,38.142857,38.689999,199238900
40294,38.84,38.922855,38.312859,38.5,119767200
40295,38.181427,38.262856,37.217144,37.434284,177335900
40296,37.607143,37.714287,36.630001,37.371429,189600600
40297,37.574287,38.57143,37.43,38.377144,139710200
40298,38.472858,38.652859,37.285713,37.298573,135615900
40301,37.691429,38.26857,37.554287,38.049999,113585500
40302,37.555714,37.612858,36.67857,36.954285,180954900
40303,36.147144,36.877144,35.532856,36.57,220775800
40304,36.261429,36.892857,28.464285,35.17857,321465200
40305,34.815716,35.224285,32.172855,33.694286,419004600
40308,35.75,36.378571,35.504284,36.284286,246076600
40309,35.977142,37.127144,35.785713,36.645714,212226700
40310,37.034286,37.59,36.957142,37.441429,163594900
40311,37.602856,37.857143,36.628571,36.908573,149928100
40312,36.451427,36.639999,35.642857,36.259998,189840700
40315,36.385715,36.597141,35.387142,36.317142,190708700
40316,36.71143,36.935715,35.751427,36.05143,195669600
40317,35.642857,36.131428,34.978573,35.477142,256431700
40318,34.554287,34.835712,33.744286,33.965714,320728800
40319,33.259998,34.92857,33.049999,34.617142,305972800
40322,35.325714,35.842857,35.18,35.251427,188559700
40323,34.192856,35.251427,33.880001,35.031429,262001600
40324,35.725716,36.01857,34.82143,34.872856,212663500
40325,35.799999,36.27,35.587143,36.192856,166570600
40326,37.055714,37.057144,36.192856,36.697144,203903700
40330,37.098572,37.991428,36.994286,37.261429,219118200
40331,37.791428,37.828571,37.189999,37.707142,172137000
40332,37.882858,37.935715,37.201427,37.58857,162526700
40333,36.887142,37.414288,36.375713,36.565716,189576100
40336,36.898571,37.021427,35.792858,35.848572,221735500
40337,36.177143,36.257141,35.092857,35.618572,250192600
40338,35.924286,35.985714,34.64143,34.742859,213657500
40339,34.977142,35.854286,34.599998,35.787144,194089000
40340,35.46143,36.265713,35.33857,36.215714,136439800
40343,36.565716,37.021427,36.287144,36.325714,150740100
40344,36.52,37.121429,36.5,37.098572,146268500
40345,37.299999,38.25,37.232857,38.17857,195919500
40346,38.657143,38.985714,38.5,38.83857,218213800
40347,38.892857,39.285713,38.774284,39.152859,196155400
40350,39.669998,39.85857,38.389999,38.595715,194122600
40351,38.880001,39.424286,38.785713,39.121429,179315500
40352,39.225716,39.237144,38.271427,38.709999,192114300
40353,38.714287,39.028572,38.299999,38.42857,178569300
40354,38.580002,38.610001,37.972858,38.099998,137485600
40357,38.132858,38.535713,37.78857,38.328571,146237000
40358,37.73143,37.77,36.328571,36.595715,283336200
40359,36.672855,36.852856,35.715714,35.932858,184863000
40360,36.328571,36.400002,34.745716,35.497143,255724000
40361,35.784286,35.847141,34.742859,35.277142,173460700
40365,35.857143,36.114285,35.165714,35.51857,153808900
40366,35.784286,36.967144,35.67857,36.952858,163639000
40367,37.497143,37.557144,36.412857,36.869999,184536100
40368,36.69857,37.128571,36.451427,37.08857,108330600
40371,36.932858,37.407143,36.408573,36.755714,140719600
40372,36.617142,36.628571,35.204285,35.971428,297731000
40373,35.625713,36.542858,35.57143,36.104286,203011900
40374,35.46143,36.709999,35.328571,35.921429,206216500
40375,36.168571,36.424286,35.487144,35.700001,259964600
40378,35.697144,35.697144,34.228573,35.082859,256119500
40379,34.700001,36.128571,34.287144,35.984287,268737700
40380,37.869999,37.878571,36.285713,36.32,296417800
40381,36.811428,37.142857,36.472858,37.002857,161329700
40382,36.727142,37.197144,36.611427,37.134285,133347200
40385,37.142857,37.157143,36.815716,37.040001,105137900
40386,37.267143,37.828571,37.185715,37.725716,146192900
40387,37.667141,37.998573,37.17857,37.279999,129996300
40388,37.244286,37.521427,36.585712,36.872856,160951700
40389,36.555714,37.099998,36.414288,36.75,112052500
40392,37.205715,37.512856,37.08857,37.407143,107013900
40393,37.287144,37.60857,37.060001,37.418571,104413400
40394,37.548573,37.754284,37.187141,37.568573,105093800
40395,37.389999,37.597141,37.221428,37.385715,72274300
40396,37.111427,37.355713,36.804287,37.155716,111224400
40399,37.354286,37.450001,37.081429,37.392857,75782000
40400,37.121429,37.207142,36.792858,37.058571,112980000
40401,36.485714,36.527142,35.687141,35.741428,155013600
40402,35.241428,36.157143,35.16,35.970001,133730100
40403,35.950001,35.982857,35.584286,35.585712,88717300
40406,35.368572,35.715714,35.23143,35.377144,79607500
40407,35.725716,36.375713,35.599998,35.995716,105660100
40408,36.05143,36.381428,35.939999,36.152859,84924000
40409,36.119999,36.21143,35.525715,35.697144,106676500
40410,35.627144,36.274284,35.57143,35.662857,96057500
40413,35.970001,36,35.035713,35.114285,103510400
40414,34.667141,34.714287,34.092857,34.275715,150641400
40415,34.005714,34.855713,33.885715,34.69857,149216900
40416,35.064285,35.107143,34.325714,34.325714,116626300
40417,34.535713,34.658573,33.651428,34.517143,137097800
40420,34.394287,35.107143,34.382858,34.642857,95822300
40421,34.549999,34.937141,34.335712,34.728573,105196700
40422,35.352856,35.922855,35.182858,35.761429,174259400
40423,35.894287,36.024284,35.509998,36.024284,103856900
40424,36.441429,36.968571,36.357143,36.967144,130197200
40428,36.662857,37.075714,36.607143,36.830002,85639400
40429,37.111427,37.77,37.014286,37.560001,131637800
40430,37.862858,38.074287,37.560001,37.581429,109643800
40431,37.598572,37.785713,37.342857,37.630001,96885600
40434,37.974285,38.325714,37.965714,38.148571,97195000
40435,38.029999,38.452858,37.931427,38.294285,102037600
40436,38.310001,38.625713,38.262856,38.602856,107342200
40437,38.605713,39.524284,38.5,39.509998,163025800
40438,39.669998,39.708572,39.097141,39.33857,158619300
40441,39.439999,40.540001,39.407143,40.46143,164669400
40442,40.55143,41.049999,40.398571,40.53857,167018600
40443,40.387142,41.139999,40.344284,41.107143,146322400
40444,40.904285,41.822857,40.857143,41.274284,196529200
40445,41.728573,41.932858,41.507141,41.759998,162372000
40448,41.997143,42.104286,41.572857,41.594284,120708700
40449,41.681427,41.681427,39.285713,40.98,258760600
40450,41.032856,41.401428,40.857143,41.052856,117411000
40451,41.285713,41.42857,40.17857,40.535713,168347900
40452,40.878571,40.939999,40.192856,40.360001,112035700
40455,40.228573,40.414288,39.681427,39.805714,108825500
40456,40.285713,41.349998,40.259998,41.277142,125491800
40457,41.369999,41.712856,40.751427,41.312859,167717200
40458,41.477142,41.497143,40.987144,41.317142,102099900
40459,41.672855,42.07143,41.42857,42.009998,164600800
40462,42.105713,42.462856,42.085712,42.194286,106938300
40463,42.201427,42.785713,41.784286,42.648571,139636000
40464,42.885715,43.137142,42.828571,42.877144,157523100
40465,43.098572,43.209999,42.914288,43.187141,108824100
40466,43.919998,45,43.558571,44.962856,230548500
40469,45.495716,45.57143,44.898571,45.42857,273252700
40470,43.342857,44.824287,42.860001,44.212856,308196000
40471,44.142857,44.892857,43.83857,44.361427,180406100
40472,44.622856,44.962856,43.828571,44.217144,137865000
40473,44.152859,44.291428,43.757141,43.924286,93194500
40476,44.155716,44.514286,44.062859,44.119999,98115500
40477,43.83857,44.248573,43.664288,44.007141,98232400
40478,43.950001,44.271427,43.657143,43.975716,99750700
40479,43.992859,44,42.985714,43.605713,137762800
40480,43.46143,43.697144,42.98143,42.997143,107627800
40483,43.174286,43.657143,43.171429,43.454285,105972300
40484,43.857143,44.312859,43.857143,44.194286,108482500
40485,44.48143,44.697144,44.075714,44.685715,127087100
40486,45.064285,45.740002,45.004284,45.467144,160622000
40487,45.427143,45.652859,45.25,45.304287,90313300
40490,45.314285,45.681427,45.251427,45.517143,70439600
40491,45.864285,45.900002,44.92857,45.154285,95886000
40492,45.234287,45.53857,44.792858,45.432858,96056800
40493,45,45.485714,44.892857,45.235714,90321000
40494,45.142857,45.214287,43.375713,44.004284,198961700
40497,44.065716,44.362858,43.752857,43.862858,100901500
40498,43.674286,43.942856,42.759998,43.084286,164412500
40499,43.028572,43.427143,42.537144,42.92857,119862400
40500,43.599998,44.238571,43.527142,44.061428,123622800
40501,43.995716,44.057144,43.605713,43.818573,96210800
40504,43.811428,44.765713,43.695713,44.765713,98268800
40505,44.349998,44.535713,43.794285,44.104286,129861900
40506,44.57143,45.057144,44.535713,44.971428,103431300
40508,44.82,45.385715,44.705715,45,59396400
40511,45.07143,45.354286,44.482857,45.267143,111446300
40512,44.791428,44.908573,44.41,44.450001,125464500
40513,45.03857,45.392857,45,45.200001,115437700
40514,45.361427,45.57143,44.984287,45.450001,115709300
40515,45.287144,45.521427,45.191429,45.348572,85523200
40518,45.52,46.047142,45.488571,45.735714,112120400
40519,46.257141,46.284286,45.445713,45.458572,97863500
40520,45.66143,45.860001,45.30143,45.85857,80483900
40521,46.01857,46.07143,45.574287,45.68,73537800
40522,45.664288,45.864285,45.514286,45.794285,65627800
40525,46.33857,46.437141,45.857143,45.952858,109953900
40526,45.96143,46.077145,45.57143,45.755714,87752000
40527,45.714287,46.142857,45.598572,45.765713,104328000
40528,45.869999,46.087143,45.728573,45.892857,80507700
40529,45.947144,45.970001,45.747143,45.80143,96732300
40532,45.942856,46.17857,45.46143,46.029999,96402600
40533,46.142857,46.341427,46.007141,46.314285,64088500
40534,46.337143,46.531429,46.221428,46.451427,66480400
40535,46.42857,46.450001,46.167141,46.228573,55789300
40539,46.121429,46.491428,45.931427,46.382858,62454000
40540,46.558571,46.665714,46.437141,46.495716,43981000
40541,46.602856,46.635715,46.442856,46.470001,40784800
40542,46.497143,46.501427,46.150002,46.237144,39373600
40543,46.135715,46.21143,45.901428,46.080002,48377000
40546,46.52,47.18,46.405716,47.081429,111284600
40547,47.491428,47.5,46.878571,47.327145,77270200
40548,47.078571,47.762856,47.07143,47.714287,63879900
40549,47.817142,47.892857,47.557144,47.675713,75107200
40550,47.712856,48.049999,47.414288,48.017143,77982800
40553,48.404285,49.032856,48.167141,48.921429,112140000
40554,49.26857,49.279999,48.495716,48.805714,111027000
40555,49.035713,49.204285,48.857143,49.202858,75647600
40556,49.308571,49.52,49.121429,49.382858,74195100
40557,49.412857,49.782856,49.205715,49.782856,77210000
40561,47.074287,49.251427,46.57143,48.664288,470249500
40562,49.764286,49.799999,48.125713,48.405716,283903200
40563,48.061428,48.328571,47.16,47.525715,191197300
40564,47.681427,47.84,46.66143,46.674286,188600300
40567,46.695713,48.207142,46.674286,48.207142,143670800
40568,48.047142,48.777142,47.795715,48.771427,136717000
40569,48.994286,49.371429,48.785713,49.121429,126718900
40570,49.111427,49.241428,48.975716,49.029999,71256500
40571,49.167141,49.200001,47.647144,48.014286,148014300
40574,47.971428,48.577145,47.757141,48.474285,94311700
40575,48.757141,49.378571,48.71143,49.290001,106658300
40576,49.207142,49.32143,49.078571,49.188572,64738800
40577,49.114285,49.177143,48.364285,49.062859,98449400
40578,49.091427,49.528572,49.072857,49.5,80460100
